B11,B12,Clay_CMR,Elevation,Iron_Oxide,Label,NDSI,NDVI,NDWI,Site
2194.0,1694.25,1.2949682750479563,12,1.2905,0,0.02629535086452961,0.047894250601530075,-0.10249361395835876,New York City
1056.0,975.0,1.083076923076923,39,1.0905797101449275,0,-0.27690446376800537,0.13131313025951385,-0.13458755612373352,Tokyo
2412.5,2242.5,1.0758082497212933,764,1.5978701825557808,0,-0.2808600962162018,0.22731731832027435,-0.2976406514644623,"Sao Paulo, BRA"
1569.5,1336.6666666666667,1.1741895261845385,11,1.1852713178294574,0,-0.0027152211405336857,0.017667844891548157,-0.007313195616006851,"Cairo, EGY"
82.57142857142857,75.85714285714286,1.0885122410546137,2,0.3901918976545842,0,0.3758099377155304,-0.06861314177513123,0.5478383898735046,"Sydney, AUS"
1721.0,1607.0,1.0709396390790293,134,1.166542750929368,0,-0.05680073797702789,0.14180226624011993,-0.15220090746879578,"Moscow, RUS"
938.0,845.3333333333334,1.109621451104101,55,1.1274961597542243,0,-0.43809887766838074,0.12930011749267578,-0.12997032701969147,"Beijing, CHN"
1706.8,987.5,1.7284050632911392,175,1.5804878048780486,0,-0.45778587460517883,0.6613218188285828,-0.6311931610107422,"Agra, India"
1610.0,1303.0,1.2356101304681504,1107,1.5669950738916256,0,-0.4129003882408142,0.13540203869342804,-0.21906614303588867,Brasilia
1230.0,1117.0,1.1011638316920322,45,1.02014652014652,0,-0.04591836780309677,0.022807016968727112,-0.01923076994717121,"Paris, FRA"
2243.0,1503.0,1.4923486360612108,33,1.6044444444444443,0,-0.5336751937866211,0.5231175422668457,-0.5435073375701904,"Berlin, GER"
3880.375,3414.3333333333335,1.1364956555696573,-1,1.547015147015147,0,-0.18538270890712738,0.06618859618902206,-0.16453449428081512,"Dubai, UAE"
1493.3333333333333,1394.5,1.0708736703716983,2,1.3740629685157422,0,-0.1672746241092682,0.07283763587474823,-0.14062920212745667,"Mumbai, IND"
2468.0,2501.0,0.9868052778888444,1669,2.2095890410958905,0,-0.42824074625968933,0.11373626440763474,-0.3446102738380432,"Nairobi, KEN"
2600.5,2438.0,1.0666529942575882,2244,1.3047619047619048,0,-0.18312102556228638,0.02881317213177681,-0.11223732680082321,Mexico City
2220.5,1515.5,1.46519300560871,182,1.543664383561644,0,-0.4395461976528168,0.5545398592948914,-0.5688816905021667,"Chicago, USA"
546.0,435.0,1.2551724137931035,34,0.9794520547945206,0,-0.5988286733627319,0.11999999731779099,-0.1410658359527588,"Vancouver, CAN"
1973.0,1964.0,1.0045824847250509,33,1.1493383742911154,0,0.05935637652873993,-0.009547529742121696,-0.0355902761220932,"Cape Town, ZAF"
106.0,115.33333333333334,0.9190751445086704,0,0.43670886075949367,0,0.4369190037250519,-0.16825397312641144,0.46711865067481995,"Istanbul, TUR"
1619.0,1261.0,1.2839016653449644,29,1.3140376266280753,0,-0.2998795807361603,0.3594356179237366,-0.37692034244537354,"Seoul, KOR"
2799.0,2761.0,1.013763129300978,8,1.1882648258550361,0,-0.23005932569503784,0.01929302141070366,-0.05806451663374901,"Bangkok, THA"
1626.0,1511.0,1.0761085373924553,31,1.4422127099110964,0,-0.16936354339122772,0.07183725386857986,-0.18690602481365204,"Buenos Aires, ARG"
2653.0,2392.0,1.109113712374582,55,1.4044795783926218,0,-0.17104391753673553,0.15463916957378387,-0.21586638689041138,"Casablanca, MAR"
5032.25,1860.0,2.705510752688172,1207,1.2794783580334042,0,0.017929891124367714,0.04454752430319786,-0.09747375547885895,"White Sands, USA"
27.0,25.0,1.08,1282,0.45,0,0.9345454573631287,-0.5567567348480225,0.8136363625526428,"Great Salt Lake, USA"
2503.75,1683.3333333333333,1.4873762376237625,-82,1.5275013095861707,0,-0.0011495976941660047,0.007319149095565081,-0.08447865396738052,Death Valley Salt
3770.0,2820.0,1.3368794326241136,1081,1.1556238615664844,0,-0.1872769296169281,0.0027997444849461317,0.005585141014307737,"Etosha Pan, Namibia"
4386.0,3461.0,1.2672637965905809,-91,2.5434868162140893,0,-0.5452730655670166,-0.009922650642693043,-0.24137930572032928,"Danakil, Ethiopia"
1998.0,916.0,2.1812227074235806,1282,1.1038062283737025,0,0.4653465449810028,0.004680186975747347,-0.02838892862200737,"Bonneville, USA"
3491.0,2774.0,1.2584715212689257,794,1.5333333333333334,0,-0.23487795889377594,0.057273559272289276,-0.14370545744895935,"Lop Nur, China"
4586.25,4120.75,1.1129648728993509,695,1.6428612140210885,0,-0.18947383761405945,0.04694752395153046,-0.14927099645137787,"Rogers Lake, USA"
3929.0,3160.0,1.2433544303797468,910,1.4065776360374727,0,-0.45829081535339355,0.1742956042289734,-0.2644576132297516,"Makgadikgadi, BOT"
147.66666666666666,133.5,1.1061173533083646,-415,0.510108630054315,0,0.5210810899734497,-0.16566109657287598,0.39860835671424866,"Dead Sea, ISR"
7093.619047619048,6344.0,1.1181618927520567,91,2.5234269594014473,0,-0.38748523592948914,0.09031405299901962,-0.2726864218711853,"White Desert, EGY"
1542.0,1116.6,1.3809779688339603,4323,1.745472490989846,0,-0.0665283352136612,0.08825245499610901,-0.2199678122997284,Salar de Tara Control
59.6,45.857142857142854,1.2996884735202494,0,0.32559774964838256,0,0.7608826756477356,-0.20416124165058136,0.622850775718689,Shark Bay Salt
3950.0,3114.5,1.2682613581634292,581,1.6471215351812367,0,-0.2088136225938797,0.06618313491344452,-0.15419846773147583,"Koehn Lake, USA"
3340.0,2065.0,1.6174334140435835,-15,1.5833333333333333,0,-0.04603821039199829,0.02313624694943428,-0.10766075551509857,"Lake Eyre, AUS"
